,Memory usage,RangeBF,BloomedSplash h=3,BloomedSplash h=5,BloomedSplash h=7,Splash,SuRF Real,FST
0,62534,0.212465,,,,,,
1,125034,0.0327739,,,,,,
2,187534,0.00962115,,,,,,
3,250034,0.0033404,,,,,,
4,312534,0.00174021,,,,,,
5,375034,0.00117014,,,,,,
6,437534,0.000850102,,,,,,
7,500034,0.000660079,,,,,,
8,562534,0.000560067,,,,,,
9,625034,0.000310037,,,,,,
0,63908,,0.00987118,,,,,
1,126408,,0.00395047,,,,,
2,188908,,0.0025203,,,,,
3,251408,,0.00178021,,,,,
4,313908,,0.00111013,,,,,
5,376408,,0.00100012,,,,,
6,438908,,0.0008301,,,,,
7,501408,,0.000660079,,,,,
8,563908,,0.000640077,,,,,
9,626408,,0.000650078,,,,,
0,73634,,,0.000610073,,,,
1,136134,,,0.00050006,,,,
2,198634,,,0.000470056,,,,
3,261134,,,0.000410049,,,,
4,323634,,,0.000370044,,,,
5,386134,,,0.000380046,,,,
6,448634,,,0.000350042,,,,
7,511134,,,0.000360043,,,,
8,573634,,,0.00033004,,,,
9,636134,,,0.000350042,,,,
0,135265,,,,1.00012e-05,,,
1,197765,,,,1.00012e-05,,,
2,260265,,,,1.00012e-05,,,
3,322765,,,,1.00012e-05,,,
4,385265,,,,1.00012e-05,,,
5,447765,,,,1.00012e-05,,,
6,510265,,,,1.00012e-05,,,
7,572765,,,,1.00012e-05,,,
8,635265,,,,1.00012e-05,,,
9,697765,,,,1.00012e-05,,,
0,870338,,,,,0.0,,
1,870024,,,,,0.0,,
2,743521,,,,,0.0,,
3,626287,,,,,2.00024e-05,,
4,531036,,,,,2.00024e-05,,
5,449883,,,,,2.00024e-05,,
6,388464,,,,,2.00024e-05,,
7,334618,,,,,2.00024e-05,,
8,286309,,,,,2.00024e-05,,
9,245317,,,,,6.00072e-05,,
10,223153,,,,,8.00096e-05,,
11,217574,,,,,0.000120014,,
12,212494,,,,,0.000360043,,
13,211145,,,,,0.000610073,,
14,210750,,,,,0.00301036,,
15,210558,,,,,0.00655079,,
16,210260,,,,,0.0125115,,
17,209852,,,,,0.0566468,,
18,209852,,,,,0.0566468,,
19,209852,,,,,0.0566468,,
0,220827,,,,,,0.0566368,
0,871567,,,,,,,1.00012e-05
